mol,aug-cc-pvdz,aug-cc-pvtz,aug-cc-pvqz,aug-cc-pv5z,aug-cc-pv6z
H2,-0.0358573,-0.0396302,-0.0404172,-0.0406642,-0.040756
C2H2,-0.2900248,-0.341042,-0.3555717,-0.3601217,-0.3619371
C2H4,-0.3243428,-0.3785957,-0.3938077,-0.398443,-0.400305
